Element, data.x, data.y, data.z, data.w
243,  0.94623655,  0.94623655,  0.94623655,  0.00
244,  0.95014662,  0.95014662,  0.95014662,  0.00
245,  0.9550342,  0.9550342,  0.9550342,  0.00
246,  0.95894426,  0.95894426,  0.95894426,  0.00
247,  0.96383184,  0.96383184,  0.96383184,  0.00
248,  0.96774191,  0.96774191,  0.96774191,  0.00
249,  0.97262955,  0.97262955,  0.97262955,  0.00
250,  0.97653961,  0.97653961,  0.97653961,  0.00
251,  0.98142719,  0.98142719,  0.98142719,  0.00
252,  0.98533726,  0.98533726,  0.98533726,  0.00
253,  0.99022484,  0.99022484,  0.99022484,  0.00
254,  0.9941349,  0.9941349,  0.9941349,  0.00
255,  1.00,  1.00,  1.00,  0.00
